method,level,feature_ablation,precision,recall,f1,f1_ci_low,f1_ci_high,purity,clusters,items
provider_lowcost,session,none,0.7894736842105263,1.0,0.8823529411764706,0.7892680921052632,0.974025974025974,0.91,91,400
provider_lowcost,project,none,1.0,1.0,1.0,1.0,1.0,1.0,96,400
provider_lowcost,org,none,1.0,1.0,1.0,1.0,1.0,1.0,94,400
random,session,none,0.009473684210526316,0.06,0.016363636363636365,0.011471230127946545,0.02089174979707993,0.1,20,400
random,project,none,0.007894736842105263,0.045180722891566265,0.013440860215053764,0.008971643703276792,0.018595296973649648,0.0925,20,400
random,org,none,0.008421052631578947,0.04597701149425287,0.014234875444839857,0.010263132668711655,0.01877252799559085,0.09,20,400
oracle_size_random,session,none,0.011666666666666667,0.011666666666666667,0.011666666666666667,0.0049707969022719,0.01995984614734351,0.2675,100,400
oracle_size_random,project,none,0.007530120481927711,0.007530120481927711,0.007530120481927711,0.001578070226202892,0.014938339192070535,0.2525,96,400
oracle_size_random,org,none,0.007183908045977011,0.007183908045977011,0.007183908045977011,0.0015487125571240364,0.01346517727150518,0.2475,94,400
