source_scaffold,target_scaffold,method,source_calibration_sessions,target_sessions,target_projects,alpha_dense,sparse_floor,threshold,mutual_margin,source_threshold_quantile,applied_target_threshold,source_calibration_f1,precision,recall,f1,f1_ci_low,f1_ci_high,purity,split_rate,merge_rate,candidates,source_tfidf_vocabulary
OpenHands,SWE-agent,strict_direct_anchor,,500,374,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.19518716577540107,0.0,0,40000
OpenHands,SWE-agent,dense_only,236,500,374,1.0,0.0,0.86,,0.9995219885277247,0.86,0.030303030303030307,0.45454545454545453,0.019305019305019305,0.037037037037037035,0.0,0.09105415860735008,0.992,0.1925133689839572,0.0040650406504065045,9611,40000
OpenHands,SWE-agent,structured_tfidf_only,236,500,374,0.0,0.0,0.42,,0.9836601307189542,0.42,0.6428571428571428,0.1091703056768559,0.3861003861003861,0.1702127659574468,0.07471524563433621,0.32492007928809413,0.914,0.10962566844919786,0.012345679012345678,8826,40000
OpenHands,SWE-agent,carp_content_project,236,500,374,0.5,0.2,0.42,,0.5247524752475248,0.42,0.884297520661157,0.014858841010401188,0.8108108108108109,0.029182879377431907,0.018911233030786262,0.04052488207807512,0.546,0.0374331550802139,0.0410958904109589,3412,40000
OpenHands,SWE-agent,carp_content_quantile_transfer,236,500,374,0.5,0.2,0.42,,0.5247524752475248,0.40623608231544495,0.884297520661157,0.014382666085548845,0.8918918918918919,0.028308823529411765,0.01794274054523197,0.0403353926480531,0.484,0.03208556149732621,0.05789473684210526,3412,40000
OpenHands,SWE-agent,carp_content_mutual_transfer,236,500,374,0.25,0.4,,0.02,,,0.44047619047619047,0.9090909090909091,0.19305019305019305,0.3184713375796178,0.24657605252548526,0.4389408099688473,0.99,0.12299465240641712,0.011235955056179775,55,40000
SWE-agent,OpenHands,strict_direct_anchor,,1000,639,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.28794992175273865,0.0,0,26231
SWE-agent,OpenHands,dense_only,120,1000,639,1.0,0.0,0.84,,0.9995235826584088,0.84,0.06060606060606061,0.8888888888888888,0.04424778761061947,0.08429926238145416,0.015294210255574738,0.18344699660588837,0.996,0.28325508607198746,0.003076923076923077,18662,26231
SWE-agent,OpenHands,structured_tfidf_only,120,1000,639,0.0,0.0,0.54,,0.9909574468085106,0.54,0.6938775510204082,0.027877295118674428,0.5508849557522124,0.053069053708439895,0.03590737554106567,0.07677038713126041,0.81,0.1674491392801252,0.013235294117647059,19149,26231
SWE-agent,OpenHands,carp_content_project,120,1000,639,0.5,0.3,0.6,,0.8936170212765957,0.6,0.7924528301886793,0.129783693843594,0.4314159292035398,0.1995395241749808,0.12264878074295338,0.3294195133830724,0.925,0.20344287949921752,0.012674271229404309,16256,26231
SWE-agent,OpenHands,carp_content_quantile_transfer,120,1000,639,0.5,0.3,0.6,,0.8936170212765957,0.5222623348236084,0.7924528301886793,0.007555240198674835,0.8362831858407079,0.014975189913536106,0.010381491063865739,0.02031036373236228,0.527,0.09233176838810642,0.045023696682464455,16256,26231
SWE-agent,OpenHands,carp_content_mutual_transfer,120,1000,639,0.25,0.3,,0.05,,,0.8421052631578947,0.978021978021978,0.09845132743362832,0.17889447236180905,0.11884097791501044,0.2521949188145374,0.998,0.2081377151799687,0.0022002200220022,91,26231
