run,defense,token_retention,message_retention,char_retention,tool_char_retention,workspace_paths_removed,domains_removed,repository_fields_removed,hybrid_session_f1,hybrid_session_purity,hybrid_project_f1,hybrid_project_purity,hybrid_org_f1,hybrid_org_purity
baseline_defense_probe,M0,1.0,1.0,1.0,1.0,0,0,0,0.974025974025974,0.98,1.0,1.0,1.0,1.0
baseline_defense_probe,M1,1.0,1.0,0.999953658925929,0.9999457851366729,0,0,0,0.974025974025974,0.98,1.0,1.0,1.0,1.0
baseline_defense_probe,M2,1.0,1.0,0.8775421165045985,0.8582049851702701,83138,248,0,0.16513761467889906,1.0,0.0,1.0,0.0,1.0
baseline_defense_probe,M3,0.1306515876271952,1.0,0.1103609802298308,0.05970803239249056,72514,227,0,0.974025974025974,0.98,1.0,1.0,1.0,1.0
baseline_defense_probe,M4,1.0,1.0,1.0,1.0,0,0,0,0.9615384615384615,0.97,1.0,1.0,1.0,1.0
baseline_defense_probe,M6,0.1306515876271952,1.0,0.09511510683448203,0.04326112779256816,83138,248,0,0.02955665024630542,1.0,0.0,1.0,0.0,1.0
selective_workspace_probe,M0,1.0,1.0,1.0,1.0,0,0,0,0.974025974025974,0.98,1.0,1.0,1.0,1.0
selective_workspace_probe,M2,1.0,1.0,0.8775421165045985,0.8582049851702701,83138,248,0,0.16513761467889906,1.0,0.0,1.0,0.0,1.0
selective_workspace_probe,M7_WORKSPACE_STABLE,1.0,1.0,0.9741391439391419,0.9697912693992738,0,0,0,0.974025974025974,0.98,0.0,1.0,0.0,1.0
selective_workspace_probe,M8_WORKSPACE_SESSION,1.0,1.0,0.9958812670549274,0.9951902881839257,0,0,0,0.5929203539823009,0.9775,0.0,1.0,0.0,1.0
selective_workspace_probe,M9_PATH_TYPE_ONLY,1.0,1.0,0.9040781609685975,0.8876615229163863,83138,0,0,0.5286236297198539,0.9975,0.0,1.0,0.0,1.0
