scope,method,role,workflows,requests,precision,recall,f1,purity,split_rate,merge_rate,clusters,f1_ci_low,f1_ci_high,bootstrap_iterations
heldout_900_workflows,temporal,time-only baseline,900,3600,0.1022805805114029,0.08222222222222222,0.09116107175854635,0.4897222222222222,0.9988888888888889,0.6965317919075145,1384,0.08207407301689246,0.09901954929496826,200
heldout_900_workflows,rare,rare-trace baseline,900,3600,0.0,0.0,0.0,1.0,1.0,0.0,3600,0.0,0.0,200
heldout_900_workflows,tool,tool-fingerprint baseline,900,3600,0.0008335648791330926,1.0,0.001665741254858412,0.0011111111111111111,0.0,1.0,1,0.0016674242124817202,0.0016677625513864165,200
heldout_900_workflows,hybrid,high-fidelity baseline,900,3600,0.9683908045977011,0.9985185185185185,0.9832239241429613,0.9877777777777778,0.0022222222222222222,0.01233183856502242,892,0.9664243877032828,0.9960285645526826,200
heldout_900_workflows,provider_lowcost,CARP,900,3600,0.9361997226074896,1.0,0.9670487106017193,0.9766666666666667,0.0,0.02161547212741752,879,0.940078732454934,0.9897360703812317,200
heldout_900_workflows,hybrid_no_workspace,workspace-removal control,900,3600,0.9825349301397206,0.36462962962962964,0.5318746623446785,0.9975,0.7022222222222222,0.0015885623510722795,2518,0.5028080332756069,0.5631421576756265,200
heldout_900_workflows,hybrid_turn_delta,non-cumulative Hybrid control,900,3600,0.9385474860335196,0.06222222222222222,0.11670718999652656,0.9955555555555555,1.0,0.003953771289537713,3288,0.10490607560693847,0.1299726907805735,200
heldout_900_workflows,carp_turn_delta,non-cumulative CARP control,900,3600,0.9260273972602739,0.06259259259259259,0.11725932350390286,0.9941666666666666,1.0,0.005486132276744895,3281,0.10472752680217927,0.13034425793643445,200
development_100_workflows,context_only,bounded context-only,100,400,0.7894736842105263,1.0,0.8823529411764706,0.91,0.0,0.08791208791208792,91,0.7573863636363636,0.974025974025974,200
development_100_workflows,provider_lowcost,CARP diagnostic,100,400,0.7894736842105263,1.0,0.8823529411764706,0.91,0.0,0.08791208791208792,91,0.7573863636363636,0.974025974025974,200
heldout_900_workflows,exact_message_nesting,exact cumulative-prefix baseline,900,3600,1.0,1.0,1.0,1.0,0.0,0.0,900,1.0,1.0,200
heldout_900_workflows,provider_lowcost_minus_hybrid,paired session-F1 difference,900,3600,,,-0.016175213541242073,,,,,-0.03935213133614002,-0.0017452561533275134,200
