sample_label,sample_size,scaffold,split,sample_mode,seed,max_source_rows,source_rows_seen,eligible_trajectories,requests,view,result_dir,hybrid_session_f1,hybrid_project_f1,hybrid_org_f1,rare_project_f1,temporal_session_f1,tool_session_f1
100_hf_reservoir_seed7,100,openhands,minimax_m25,reservoir,7,5000,5000,5000,1200,cumulative_raw,results/open_swe_traces_openhands_minimax_reservoir_100_seed7_hf_turns_3_6_9_12_m0_fast,0.987,1.0,1.0,1.0,0.147,0.015
100_hf_reservoir_seed7,100,openhands,minimax_m25,reservoir,7,5000,5000,5000,1200,cumulative_no_workspace,results/open_swe_traces_openhands_minimax_reservoir_100_seed7_hf_turns_3_6_9_12_no_workspace_fast,0.601,0.0,0.0,0.0,0.147,0.015
100_hf_reservoir_seed7,100,openhands,minimax_m25,reservoir,7,5000,5000,5000,1200,turn_delta_raw,results/open_swe_traces_openhands_minimax_reservoir_100_seed7_hf_turn_delta_3_6_9_12_m0_fast,0.174,1.0,1.0,1.0,0.147,0.012
100_hf_reservoir_seed7,100,openhands,minimax_m25,reservoir,7,5000,5000,5000,1200,turn_delta_no_workspace,results/open_swe_traces_openhands_minimax_reservoir_100_seed7_hf_turn_delta_3_6_9_12_no_workspace_fast,0.033,0.0,0.0,0.0,0.147,0.012
250_hf_reservoir_seed7,250,openhands,minimax_m25,reservoir,7,5000,5000,5000,3000,cumulative_raw,results/open_swe_traces_openhands_minimax_reservoir_250_seed7_hf_turns_3_6_9_12_m0_fast,1.0,1.0,1.0,1.0,0.155,0.006
250_hf_reservoir_seed7,250,openhands,minimax_m25,reservoir,7,5000,5000,5000,3000,cumulative_no_workspace,results/open_swe_traces_openhands_minimax_reservoir_250_seed7_hf_turns_3_6_9_12_no_workspace_fast,0.57,0.0,0.0,0.0,0.155,0.006
250_hf_reservoir_seed7,250,openhands,minimax_m25,reservoir,7,5000,5000,5000,3000,turn_delta_raw,results/open_swe_traces_openhands_minimax_reservoir_250_seed7_hf_turn_delta_3_6_9_12_m0_fast,0.124,0.996,0.997,0.996,0.155,0.005
250_hf_reservoir_seed7,250,openhands,minimax_m25,reservoir,7,5000,5000,5000,3000,turn_delta_no_workspace,results/open_swe_traces_openhands_minimax_reservoir_250_seed7_hf_turn_delta_3_6_9_12_no_workspace_fast,0.026,0.0,0.0,0.0,0.155,0.005
500_hf_reservoir_seed7,500,openhands,minimax_m25,reservoir,7,5000,5000,5000,6000,cumulative_raw,results/open_swe_traces_openhands_minimax_reservoir_500_seed7_hf_turns_3_6_9_12_m0_fast,0.997,0.974,0.935,0.974,0.163,0.003
500_hf_reservoir_seed7,500,openhands,minimax_m25,reservoir,7,5000,5000,5000,6000,cumulative_no_workspace,results/open_swe_traces_openhands_minimax_reservoir_500_seed7_hf_turns_3_6_9_12_no_workspace_fast,0.594,0.0,0.0,0.0,0.163,0.003
500_hf_reservoir_seed7,500,openhands,minimax_m25,reservoir,7,5000,5000,5000,6000,turn_delta_raw,results/open_swe_traces_openhands_minimax_reservoir_500_seed7_hf_turn_delta_3_6_9_12_m0_fast,0.116,0.973,0.935,0.973,0.163,0.002
500_hf_reservoir_seed7,500,openhands,minimax_m25,reservoir,7,5000,5000,5000,6000,turn_delta_no_workspace,results/open_swe_traces_openhands_minimax_reservoir_500_seed7_hf_turn_delta_3_6_9_12_no_workspace_fast,0.021,0.0,0.0,0.0,0.163,0.002
1000_first_seed7,1000,openhands,minimax_m25,first,7,,1000,,12000,cumulative_raw,results/open_swe_traces_raw_1000_turns_3_6_9_12_m0_fast,0.985,0.996,0.987,0.996,0.092,0.001
1000_first_seed7,1000,openhands,minimax_m25,first,7,,1000,,12000,cumulative_no_workspace,results/open_swe_traces_raw_1000_turns_3_6_9_12_no_workspace_fast,0.529,0.0,0.0,0.0,0.092,0.001
1000_first_seed7,1000,openhands,minimax_m25,first,7,,1000,,12000,turn_delta_raw,results/open_swe_traces_raw_1000_turn_delta_3_6_9_12_m0_fast,0.116,0.996,0.987,0.996,0.092,0.001
1000_first_seed7,1000,openhands,minimax_m25,first,7,,1000,,12000,turn_delta_no_workspace,results/open_swe_traces_raw_1000_turn_delta_3_6_9_12_no_workspace_fast,0.023,0.0,0.0,0.0,0.092,0.001
