source,field,precision,recall,f1,tp,fp,fn,predicted_values,evidenced_values,unsupported_predictions,evidence_coverage
truth_cluster_upper_bound,auth_systems,0.0,0.0,0.0,0,83,0,83,83,0,1.0
truth_cluster_upper_bound,build_tools,0.9382284382284383,0.9675480769230769,0.9526627218934911,805,53,27,858,858,0,1.0
truth_cluster_upper_bound,ci_cd_systems,0.7818181818181819,0.5058823529411764,0.6142857142857143,43,12,42,55,55,0,1.0
truth_cluster_upper_bound,cloud_providers,0.0,0.0,0.0,0,122,0,122,122,0,1.0
truth_cluster_upper_bound,databases,0.0,0.0,0.0,0,71,0,71,71,0,1.0
truth_cluster_upper_bound,frameworks,0.6374622356495468,0.6828478964401294,0.659375,211,120,98,331,331,0,1.0
truth_cluster_upper_bound,industries,0.0,0.0,0.0,0,563,0,563,563,0,1.0
truth_cluster_upper_bound,internal_domains,0.0,0.0,0.0,0,186,0,186,186,0,1.0
truth_cluster_upper_bound,languages,0.6928999144568007,0.42586750788643535,0.5275154672745035,810,359,1092,1169,1169,0,1.0
truth_cluster_upper_bound,package_managers,0.9814126394052045,0.6616541353383458,0.7904191616766467,1320,25,675,1345,1345,0,1.0
truth_cluster_upper_bound,repo_names,0.8398983481575604,0.5200629425649095,0.6423712342079689,661,126,610,787,787,0,1.0
truth_cluster_upper_bound,security_clues,0.0,0.0,0.0,0,21,0,21,21,0,1.0
truth_cluster_upper_bound,service_names,0.021052631578947368,0.0015735641227380016,0.0029282576866764276,2,93,1269,95,95,0,1.0
truth_cluster_upper_bound,__micro__,0.6774533943017939,0.5025440313111545,0.5770354280578233,3852,1834,3813,5686,5686,0,1.0
predicted_hybrid_org,auth_systems,0.0,0.0,0.0,0,83,0,83,83,0,1.0
predicted_hybrid_org,build_tools,0.937793427230047,0.9603365384615384,0.9489311163895487,799,53,33,852,852,0,1.0
predicted_hybrid_org,ci_cd_systems,0.7636363636363637,0.49411764705882355,0.6000000000000001,42,13,43,55,55,0,1.0
predicted_hybrid_org,cloud_providers,0.0,0.0,0.0,0,122,0,122,122,0,1.0
predicted_hybrid_org,databases,0.0,0.0,0.0,0,71,0,71,71,0,1.0
predicted_hybrid_org,frameworks,0.6374622356495468,0.6828478964401294,0.659375,211,120,98,331,331,0,1.0
predicted_hybrid_org,industries,0.0,0.0,0.0,0,560,0,560,560,0,1.0
predicted_hybrid_org,internal_domains,0.0,0.0,0.0,0,186,0,186,186,0,1.0
predicted_hybrid_org,languages,0.6930352536543423,0.4237644584647739,0.5259380097879282,806,357,1096,1163,1163,0,1.0
predicted_hybrid_org,package_managers,0.9812874251497006,0.6571428571428571,0.7871510057039927,1311,25,684,1336,1336,0,1.0
predicted_hybrid_org,repo_names,0.8367346938775511,0.5161290322580645,0.6384428223844283,656,128,615,784,784,0,1.0
predicted_hybrid_org,security_clues,0.0,0.0,0.0,0,21,0,21,21,0,1.0
predicted_hybrid_org,service_names,0.021052631578947368,0.0015735641227380016,0.0029282576866764276,2,93,1269,95,95,0,1.0
predicted_hybrid_org,__micro__,0.6762678918536844,0.49928245270711025,0.574452116481537,3827,1832,3838,5659,5659,0,1.0
