label,dataset_dir,result_dir,source_requests,evaluated_requests,streaming_features,feature_seconds,attack_seconds,evaluation_seconds,cache_scan_seconds,max_rss_mb,feature_window_chars,feature_max_shingles,feature_max_words,stream_provider_lowcost,max_cache_bucket_requests,candidate_edges,candidate_pair_link_events,session_f1,user_f1,project_f1,org_f1,reconstructed_workflows,workflow_pairwise_order_accuracy
provider_lowcost_sample100,artifacts/datasets/open_swe_traces_raw_1000_sample100,results/open_swe_provider_lowcost_cumulative_sample100_cluster_timed,1200,400,True,7.656,7.655,1.804,not_recorded,not_recorded,,,,,,not_recorded,,0.8823529411764706,0.0,1.0,1.0,91,0.858974358974359
provider_lowcost_full_turns_first_1000,artifacts/datasets/open_swe_traces_raw_1000_snapshots/first_1000_requests,results/open_swe_provider_lowcost_longitudinal_full_first_1000_turns,1000,333,True,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,,,,,,not_recorded,,0.8036006546644845,0.0,1.0,1.0,76,0.8508771929824562
provider_lowcost_full_turns_first_4000,artifacts/datasets/open_swe_traces_raw_1000_snapshots/first_4000_requests,results/open_swe_provider_lowcost_longitudinal_full_first_4000_turns,4000,1334,True,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,,,,,,not_recorded,,0.9652341863833896,0.0,1.0,1.0,326,0.8410020449897752
provider_lowcost_full_turns_first_8000,artifacts/datasets/open_swe_traces_raw_1000_snapshots/first_8000_requests,results/open_swe_provider_lowcost_longitudinal_full_first_8000_turns,8000,2665,True,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,,,,,,not_recorded,,0.9708029197080292,0.0,0.9960960374780402,0.986508285672386,655,0.8376590330788803
provider_lowcost_full_turns_first_12000,artifacts/datasets/open_swe_traces_raw_1000_snapshots/first_12000_requests,results/open_swe_provider_lowcost_longitudinal_full_first_12000_turns,12000,4000,True,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,,,,,,not_recorded,,0.9702457956015523,0.0,0.9964939618231399,0.9872773536895675,979,0.8363976847122915
overlay_u3_provider_lowcost_12k_materialized_budgeted,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_12000_requests,results/open_swe_user_overlay_u3_first_12000_provider_lowcost_budgeted,12000,12000,True,147.382,86.891,1.222,not_recorded,3333.051,24000,1200,1500,,,not_recorded,,0.6906584505923831,0.28101847493733023,0.6390614113851186,0.6036873084594055,0,0.0
overlay_u3_provider_lowcost_1k_streamed_budgeted,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u3_first_1000_provider_lowcost_streamed,1000,1000,True,0.0,16.441,0.012,not_recorded,164.77,24000,1200,1500,True,394,not_recorded,,0.24045158947611658,0.2647690228194323,0.7618490345231129,0.6850722524194618,0,0.0
overlay_u3_provider_lowcost_4k_streamed_budgeted,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_4000_requests,results/open_swe_user_overlay_u3_first_4000_provider_lowcost_streamed,4000,4000,True,0.0,67.902,0.052,not_recorded,538.734,24000,1200,1500,True,1397,not_recorded,,0.47455777814514793,0.2960353974508552,0.6820093721770552,0.6227173895792665,0,0.0
overlay_u3_provider_lowcost_8k_streamed_budgeted,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_8000_requests,results/open_swe_user_overlay_u3_first_8000_provider_lowcost_streamed,8000,8000,True,0.0,148.084,0.129,not_recorded,922.938,24000,1200,1500,True,2727,not_recorded,,0.653404087162696,0.2665359346148891,0.6560088023146827,0.6111812420459951,0,0.0
overlay_u3_provider_lowcost_12k_streamed_budgeted,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_12000_requests,results/open_swe_user_overlay_u3_first_12000_provider_lowcost_streamed,12000,12000,True,195.175,77.458,0.266,17.66,1301.168,24000,1200,1500,True,4057,361997,392634,0.6906584505923831,0.28101847493733023,0.6390614113851186,0.6036873084594055,0,0.0
overlay_u4_provider_lowcost_1k_streamed_budgeted,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u4_first_1000_provider_lowcost_streamed,1000,1000,True,0.0,17.008,0.013,not_recorded,150.781,24000,1200,1500,True,339,not_recorded,,0.18393383767149635,0.03573238722757222,0.6085917353292659,0.558155805086228,0,0.0
overlay_u4_provider_lowcost_4k_streamed_budgeted,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_4000_requests,results/open_swe_user_overlay_u4_first_4000_provider_lowcost_streamed,4000,4000,True,0.0,63.452,0.058,not_recorded,565.418,24000,1200,1500,True,1487,not_recorded,,0.44171291122937933,0.029164825452938577,0.573027469476832,0.5491875962057124,0,0.0
overlay_u4_provider_lowcost_8k_streamed_budgeted,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_8000_requests,results/open_swe_user_overlay_u4_first_8000_provider_lowcost_streamed,8000,8000,True,0.0,134.396,0.114,not_recorded,974.59,24000,1200,1500,True,2924,not_recorded,,0.5632291902049166,0.027707637894508613,0.5698038289869172,0.5436202907793238,0,0.0
overlay_u4_provider_lowcost_12k_streamed_budgeted,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_12000_requests,results/open_swe_user_overlay_u4_first_12000_provider_lowcost_streamed,12000,12000,True,153.41,69.836,0.228,9.764,1373.973,24000,1200,1500,True,4335,366211,362943,0.6021726662393306,0.029347554370469126,0.5659995092813267,0.5413058482884492,0,0.0
