field,precision,recall,f1,tp,fp,fn,predicted_values,evidenced_values,unsupported_predictions,evidence_coverage,defense,ablation,feature_ablation,method,level,profiler,cluster_source,attack_method
build_tools,0.937793427230047,0.9603365384615384,0.9489311163895487,799.0,53.0,33.0,852.0,852.0,0.0,1.0,M0,none,none,hybrid,org,rule_predicted_clusters,predicted,hybrid
ci_cd_systems,0.7636363636363637,0.49411764705882355,0.6000000000000001,42.0,13.0,43.0,55.0,55.0,0.0,1.0,M0,none,none,hybrid,org,rule_predicted_clusters,predicted,hybrid
frameworks,0.6374622356495468,0.6828478964401294,0.659375,211.0,120.0,98.0,331.0,331.0,0.0,1.0,M0,none,none,hybrid,org,rule_predicted_clusters,predicted,hybrid
languages,0.6930352536543423,0.4237644584647739,0.5259380097879282,806.0,357.0,1096.0,1163.0,1163.0,0.0,1.0,M0,none,none,hybrid,org,rule_predicted_clusters,predicted,hybrid
package_managers,0.9812874251497006,0.6571428571428571,0.7871510057039927,1311.0,25.0,684.0,1336.0,1336.0,0.0,1.0,M0,none,none,hybrid,org,rule_predicted_clusters,predicted,hybrid
repo_names,0.8367346938775511,0.5161290322580645,0.6384428223844283,656.0,128.0,615.0,784.0,784.0,0.0,1.0,M0,none,none,hybrid,org,rule_predicted_clusters,predicted,hybrid
service_names,0.021052631578947368,0.0015735641227380016,0.0029282576866764276,2.0,93.0,1269.0,95.0,95.0,0.0,1.0,M0,none,none,hybrid,org,rule_predicted_clusters,predicted,hybrid
__audited_micro__,0.8290727902946274,0.49928245270711025,0.6232391499063595,3827,789,3838,4616,4616,0,1.0,,,,,org,rule_predicted_clusters,predicted,hybrid
build_tools,0.950517836593786,0.9927884615384616,0.9711934156378601,826,43,6,869,869,0,1.0,,,,,org,structured_predicted_clusters,predicted,hybrid
ci_cd_systems,0.9882352941176471,0.9882352941176471,0.9882352941176471,84,1,1,85,85,0,1.0,,,,,org,structured_predicted_clusters,predicted,hybrid
frameworks,0.7463768115942029,1.0,0.8547717842323651,309,105,0,414,414,0,1.0,,,,,org,structured_predicted_clusters,predicted,hybrid
languages,0.7132509586706434,0.8801261829652997,0.7879501059072722,1674,673,228,2347,2347,0,1.0,,,,,org,structured_predicted_clusters,predicted,hybrid
package_managers,0.9954796584630838,0.993483709273183,0.9944806823883593,1982,9,13,1991,1991,0,1.0,,,,,org,structured_predicted_clusters,predicted,hybrid
repo_names,0.7674714104193139,0.4752163650668765,0.5869776482021379,604,183,667,787,787,0,1.0,,,,,org,structured_predicted_clusters,predicted,hybrid
service_names,0.6863636363636364,0.4752163650668765,0.5615992561599256,604,276,667,880,880,0,1.0,,,,,org,structured_predicted_clusters,predicted,hybrid
__audited_micro__,0.825037298250373,0.7936073059360731,0.8090171565367736,6083,1290,1582,7373,7373,0,1.0,,,,,org,structured_predicted_clusters,predicted,hybrid
build_tools,0.9519450800915332,1.0,0.9753810082063307,832,42,0,874,874,0,1.0,,,,,org,structured_truth_clusters,truth,hybrid
ci_cd_systems,1.0,1.0,1.0,85,0,0,85,85,0,1.0,,,,,org,structured_truth_clusters,truth,hybrid
frameworks,0.7463768115942029,1.0,0.8547717842323651,309,105,0,414,414,0,1.0,,,,,org,structured_truth_clusters,truth,hybrid
languages,0.7134378974141585,0.8848580441640379,0.7899554095282797,1683,676,219,2359,2359,0,1.0,,,,,org,structured_truth_clusters,truth,hybrid
package_managers,0.9960059910134798,1.0,0.9979989994997499,1995,8,0,2003,2003,0,1.0,,,,,org,structured_truth_clusters,truth,hybrid
repo_names,0.7708860759493671,0.47915027537372146,0.5909752547307132,609,181,662,790,790,0,1.0,,,,,org,structured_truth_clusters,truth,hybrid
service_names,0.6896942242355606,0.47915027537372146,0.5654596100278553,609,274,662,883,883,0,1.0,,,,,org,structured_truth_clusters,truth,hybrid
__audited_micro__,0.8264038876889849,0.7986953685583823,0.812313408080674,6122,1286,1543,7408,7408,0,1.0,,,,,org,structured_truth_clusters,truth,hybrid
